# Apache Doris built-in functions covered by the official-document function fixtures.
# Generated 2026-09-14. Format: minimum-major-maximum-major|function-name.
1-4|split_by_string
1-4|split_part
1-4|sqrt
1-4|st_angle
1-4|st_angle_sphere
1-4|st_area_square_km
1-4|st_area_square_meters
1-4|st_asbinary
1-4|st_astext
1-4|st_azimuth
1-4|st_circle
1-4|st_contains
1-4|st_disjoint
1-4|st_distance
1-4|st_distance_sphere
1-4|st_geometries
1-4|st_geometryfromtext
1-4|st_geometryfromwkb
1-4|st_geometrytype
1-4|st_intersects
1-4|st_length
1-4|st_linefromtext
1-4|st_numgeometries
1-4|st_numpoints
1-4|st_point
1-4|st_polygon
1-4|st_touches
1-4|st_x
1-4|st_y
1-4|starts_with
1-4|stddev
1-4|stddev_pop
1-4|stddev_samp
1-4|str_to_date
1-4|str_to_map
1-4|strcmp
1-4|strip_null_value
1-4|strleft
1-4|strright
1-4|struct
1-4|struct_element
1-4|sub_binary
1-4|sub_bitmap
1-4|sub_replace
1-4|sub_time
1-4|substring
1-4|substring_index
1-4|sum
1-4|sum0
1-4|sum_foreach
1-4|sum_map
1-4|tan
1-4|tanh
1-4|tasks
1-4|time
1-4|time_format
1-4|time_to_sec
1-4|timediff
1-4|timestamp
1-4|timestampadd
1-4|timestampdiff
1-4|to_base64
1-4|to_base64_binary
1-4|to_bitmap
1-4|to_date
1-4|to_days
1-4|to_hex
1-4|to_ipv4
1-4|to_ipv4_or_default
1-4|to_ipv4_or_null
1-4|to_ipv6
1-4|to_ipv6_or_default
1-4|to_ipv6_or_null
1-4|to_iso8601
1-4|to_json
1-4|to_monday
1-4|to_quantile_state
1-4|to_seconds
1-4|tokenize
1-4|top_level_domain
1-4|topn
1-4|topn_array
1-4|topn_weighted
1-4|translate
1-4|trim
1-4|trim_in
1-4|truncate
1-4|try_parse_to_variant
1-4|ucase
1-4|uncompress
1-4|unhex
1-4|unicode_normalize
1-4|uniform
1-4|unix_timestamp
1-4|unnest
1-4|url_decode
1-4|url_encode
1-4|user
1-4|utc_date
1-4|utc_time
1-4|utc_timestamp
1-4|uuid
1-4|uuid_numeric
1-4|var_pop
1-4|var_samp
1-4|variance
1-4|variance_pop
1-4|variance_samp
1-4|variant_type
1-4|version
1-4|week
1-4|week_ceil
1-4|week_floor
1-4|weekday
1-4|weekofyear
1-4|weeks_add
1-4|weeks_diff
1-4|weeks_sub
1-4|width_bucket
1-4|window_funnel
1-4|xpath_string
1-4|xxhash_32
1-4|xxhash_64
1-4|year
1-4|year_ceil
1-4|year_floor
1-4|year_of_week
1-4|years_add
1-4|years_diff
1-4|years_sub
1-4|yearweek
# Additional built-ins referenced by the official SQL examples.
1-4|__timefilter
1-4|$__timefilter
1-4|any
1-4|booland_agg
1-4|boolor_agg
1-4|boolxor_agg
1-4|cardinality
1-4|ceiling
1-4|current_date
1-4|current_timestamp
1-4|datasketches_hll_estimate
1-4|day_of_month
1-4|day_of_week
1-4|day_of_year
1-4|days_add
1-4|days_sub
1-4|dict_get
1-4|dict_get_many
1-4|dow
1-4|doy
1-4|ds_hll_estimate
1-4|edit_distance
1-4|explode_json_object_outer
1-4|from_binary
1-4|inet6_aton
1-4|insert
1-4|json_extract_no_quotes
1-4|json_parse_error_to_invalid
1-4|json_parse_notnull
1-4|json_parse_notnull_error_to_invalid
1-4|json_parse_notnull_error_to_value
1-4|json_parse_nullable
1-4|json_parse_nullable_error_to_invalid
1-4|json_parse_nullable_error_to_null
1-4|json_parse_nullable_error_to_value
1-4|jsonb_exists_path
1-4|jsonb_extract
1-4|jsonb_hash
1-4|left
1-4|levenshtein_distance
1-4|localtime
1-4|lower
1-4|mid
1-4|middle_quantiles
1-4|multi_match
1-4|ndv
1-4|nth_value
1-4|orthogonal_bitmap_intersect
1-4|orthogonal_bitmap_intersect_count
1-4|orthogonal_bitmap_union_count
1-4|power
1-4|rand
1-4|right
1-4|running_difference
1-4|score
1-4|schema
1-4|search
1-4|second_timestamp
1-4|sha1
1-4|size
1-4|sleep
1-4|st_geomfromwkb
1-4|st_linestringfromtext
1-4|substr
1-4|sum_union
1-4|try_cast
1-4|unhex_null
1-4|upper
1-4|url_extract_host
1-4|url_extract_path
1-4|url_extract_port
1-4|url_extract_protocol
1-4|url_extract_query
1-4|uuid_to_int
1-4|week_of_year
